iter	Passed	Remaining
517	1149	1069
518	1150	1066
519	1151	1063
520	1154	1061
521	1155	1058
522	1156	1054
523	1157	1051
524	1159	1048
525	1160	1045
526	1161	1042
527	1162	1039
528	1163	1036
529	1164	1032
530	1167	1031
531	1168	1028
532	1170	1025
533	1171	1022
534	1172	1019
535	1173	1016
536	1175	1013
537	1176	1010
538	1177	1007
539	1179	1004
540	1181	1002
541	1182	999
542	1183	996
543	1185	993
544	1186	990
545	1187	987
546	1188	984
547	1189	981
548	1190	978
549	1191	975
550	1194	973
551	1195	970
552	1196	967
553	1197	964
554	1198	961
555	1199	958
556	1201	955
557	1202	952
558	1203	949
559	1204	946
560	1207	944
561	1208	941
562	1209	938
563	1210	936
564	1211	933
565	1212	930
566	1213	927
567	1216	924
568	1217	922
569	1218	919
570	1221	917
571	1222	915
572	1223	912
573	1225	909
574	1226	906
575	1227	903
576	1228	900
577	1229	897
578	1230	894
579	1231	891
580	1232	888
581	1233	886
582	1237	884
583	1238	882
584	1239	879
585	1240	876
586	1242	874
587	1244	871
588	1245	868
589	1246	866
590	1248	863
591	1250	861
592	1252	859
593	1253	856
594	1254	854
595	1256	851
596	1257	848
597	1258	846
598	1260	843
599	1263	842
600	1266	840
601	1267	837
602	1268	835
603	1270	832
604	1271	829
605	1272	827
606	1273	824
607	1274	821
608	1277	820
609	1279	817
610	1280	815
611	1282	812
612	1283	810
613	1284	807
614	1286	805
615	1287	802
616	1288	799
617	1293	799
618	1295	797
619	1297	794
620	1298	792
621	1299	789
622	1301	787
623	1302	785
624	1308	784
625	1309	782
626	1311	780
627	1312	777
628	1313	774
629	1316	773
630	1317	770
631	1323	770
632	1324	768
633	1326	765
634	1327	763
635	1328	760
636	1330	758
637	1331	755
638	1339	757
639	1342	754
640	1343	752
641	1344	749
642	1346	747
643	1350	746
644	1353	745
645	1355	742
646	1356	740
647	1357	737
648	1359	735
649	1360	732
650	1361	729
651	1362	727
652	1366	726
653	1367	723
654	1369	721
655	1370	718
656	1371	716
657	1372	713
658	1373	710
659	1374	708
660	1379	707
661	1381	705
662	1382	702
663	1384	700
664	1385	697
665	1386	695
666	1388	693
667	1389	690
668	1390	688
669	1393	686
670	1395	684
671	1396	681
672	1397	679
673	1399	676
674	1400	674
675	1401	671
676	1404	670
677	1405	667
678	1407	665
679	1408	662
680	1409	660
681	1410	657
682	1412	655
683	1419	655
684	1420	653
685	1421	650
686	1422	648
687	1424	646
688	1425	643
689	1426	640
690	1432	640
691	1434	638
692	1435	636
693	1436	633
694	1438	631
695	1440	629
696	1441	626
697	1445	625
698	1447	623
699	1455	623
700	1457	621
701	1464	621
702	1467	619
703	1469	617
704	1470	615
705	1472	613
706	1474	611
707	1476	608
708	1477	606
709	1478	603
710	1479	601
711	1481	599
712	1482	596
713	1483	594
714	1484	591
715	1485	589
716	1486	586
717	1487	584
718	1489	581
719	1490	579
720	1491	577
721	1492	574
722	1493	572
723	1494	569
724	1497	567
725	1498	565
726	1499	563
727	1500	560
728	1501	558
729	1502	555
730	1503	553
731	1505	551
732	1506	548
733	1507	546
734	1508	543
735	1510	541
736	1511	539
737	1513	537
738	1514	534
739	1515	532
740	1516	530
741	1517	527
742	1518	525
743	1519	522
744	1520	520
745	1521	518
746	1522	515
747	1528	514
748	1529	512
749	1531	510
750	1532	508
751	1533	505
752	1535	503
753	1536	501
754	1537	499
755	1541	497
756	1543	495
757	1544	493
758	1545	490
759	1546	488
760	1548	486
761	1549	483
762	1550	481
763	1551	479
764	1554	477
765	1556	475
766	1557	473
767	1558	470
768	1559	468
769	1560	466
770	1561	463
771	1562	461
772	1563	459
773	1564	456
774	1566	454
775	1569	452
776	1571	451
777	1572	448
778	1573	446
779	1575	444
780	1576	441
781	1577	439
782	1578	437
783	1580	435
784	1583	433
785	1585	431
786	1586	429
787	1587	427
788	1589	425
789	1590	422
790	1591	420
791	1592	418
792	1593	415
793	1597	414
794	1598	412
795	1600	410
796	1602	408
797	1603	405
798	1604	403
799	1605	401
800	1607	399
801	1609	397
802	1611	395
803	1613	393
804	1614	391
805	1616	389
806	1617	386
807	1618	384
808	1621	382
809	1623	380
810	1626	379
811	1628	376
812	1630	374
813	1631	372
814	1632	370
815	1633	368
816	1634	366
817	1636	364
818	1640	362
819	1642	360
820	1643	358
821	1644	356
822	1645	353
823	1647	351
824	1650	350
825	1653	348
826	1657	346
827	1659	344
828	1660	342
829	1662	340
830	1663	338
831	1667	336
832	1670	334
833	1672	332
834	1673	330
835	1675	328
836	1676	326
837	1678	324
838	1679	322
839	1682	320
840	1684	318
841	1686	316
842	1687	314
843	1688	312
844	1690	310
845	1691	307
846	1692	305
847	1694	303
848	1698	302
849	1700	300
850	1701	297
851	1703	295
852	1704	293
853	1705	291
854	1706	289
855	1707	287
856	1711	285
857	1713	283
858	1714	281
859	1715	279
860	1717	277
861	1718	275
862	1719	272
863	1720	270
864	1722	268
865	1723	266
866	1726	264
867	1727	262
868	1729	260
869	1730	258
870	1731	256
871	1732	254
872	1734	252
873	1735	250
874	1736	248
875	1739	246
876	1741	244
877	1742	242
878	1743	240
879	1744	237
880	1746	235
881	1748	233
882	1749	231
883	1750	229
884	1754	228
885	1756	225
886	1758	223
887	1759	221
888	1760	219
889	1761	217
890	1762	215
891	1763	213
892	1764	211
893	1766	209
894	1769	207
895	1771	205
896	1772	203
897	1773	201
898	1774	199
899	1776	197
900	1777	195
901	1778	193
902	1779	191
903	1781	189
904	1783	187
905	1784	185
906	1785	183
907	1786	181
908	1787	178
909	1789	176
910	1790	174
911	1791	172
912	1792	170
913	1793	168
914	1796	166
915	1797	164
916	1798	162
917	1799	160
918	1800	158
919	1801	156
920	1802	154
921	1803	152
922	1804	150
923	1805	148
924	1806	146
925	1807	144
926	1810	142
927	1811	140
928	1812	138
929	1814	136
930	1815	134
931	1816	132
932	1817	130
933	1818	128
934	1819	126
935	1820	124
936	1821	122
937	1824	120
938	1825	118
939	1826	116
940	1827	114
941	1828	112
942	1829	110
943	1830	108
944	1831	106
945	1832	104
946	1833	102
947	1835	100
948	1836	98
949	1838	96
950	1840	94
951	1841	92
952	1842	90
953	1843	88
954	1844	86
955	1845	84
956	1846	82
957	1847	81
958	1849	79
959	1852	77
960	1853	75
961	1854	73
962	1855	71
963	1856	69
964	1857	67
965	1858	65
966	1859	63
967	1860	61
968	1861	59
969	1863	57
970	1867	55
971	1869	53
972	1871	51
973	1874	50
974	1877	48
975	1880	46
976	1881	44
977	1882	42
978	1883	40
979	1884	38
980	1885	36
981	1886	34
982	1888	32
983	1889	30
984	1890	28
985	1892	26
986	1893	24
987	1894	23
988	1895	21
989	1896	19
990	1897	17
991	1898	15
992	1899	13
993	1900	11
994	1902	9
995	1905	7
996	1906	5
997	1908	3
998	1909	1
999	1910	0
